title,content,media,keyword,date
豪中銀、政策金利を0.25％に維持－経済活動停止の影響見込む,"
（ブルームバーグ）： オーストラリア準備銀行（中央銀行、ＲＢＡ）は５日、政策金利であるオフィシャル・キャッシュレートの誘導目標を過去最低の0.25％に据え置くことを決定した。ブルームバーグが調査したエコノミスト31人全員が金利据え置きを予想していた。同中銀は、新型コロナウイルスの感染拡大阻止に向け経済の大部分の活動を停止した措置の影響を見込んでいる。",Bloomberg,bank,2020年 5月 5日
「SIXTEEN」出身ナッティ、デビュー曲MVティーザー第2弾公開…清純からファンキーまで魅力発散,"
ナッティが多彩な魅力を発散した。

　4日、ナッティ公式SNSにデビューシングル「NINETEEN」2ndミュージックビデオティーザーが掲載された。MUSIC BANKのプロフィールと写真　公開された映像の中で、ナッティはどっしりしながらも軽快なリズムのベースギター演奏と一緒に登場した。ファンキーなファッションをしたナッティはどこにもとらわれない姿で目を引いた。

　「NINETEEN」のサビに合わせて広がるナッティのパフォーマンスも強烈な印象を残した。華やかな春の雰囲気を連想させるワンピースから、モダンなスーツ、スポーティなファッションなどを多彩に見せてくれたナッティは手を使ったポイント振り付けでポジティブなエネルギーを発散した。

　ナッティが「NINETEEN」ポイント振り付けチャレンジ映像を相次いで公開した中で、デビューシングル「NINETEEN」の舞台では、どのような魅力で世界のファンたちの目と心を魅了させるか期待感が加わる。

　ナッティは、7日午後6時、全音源サイトを通じてデビューシングル「NINETEEN」を発売して、デビューショーケースを進行する。また、8日KBS「MUSIC BANK」を皮切りに、様々な音楽番組に出演して活発にデビュー活動を継続する予定。",WoW!Korea,bank,2020年 5月 5日
