title,content,media,keyword,date
孫正義、ジャック・マーが東大で語り尽くした1時間 ── 未来を変えるAI、経営手法、若手へのアドバイス,"
ソフトバンクグループ会長兼社長の孫正義氏と、中国大手IT企業・アリババの会長職を9月に引退したジャック・マー（馬雲）氏が12月6日、東京大学本郷キャンパスで行われた「Tokyo Forum 2019」の特別講演にあらわれた。【全画像をみる】孫正義、ジャック・マーが東大で語り尽くした1時間 ── 未来を変えるAI、経営手法、若手へのアドバイス両氏ともに世界屈指の著名な「創業者」であり、親交も深い。東京大学に集まった学生や関係者を前に、出会ったときのエピソードや起業家・投資家としての重要視していることなどを語った。そのいくつかの重要なトピックをチェックしてみよう。",BUSINESS INSIDER JAPAN,ソフトバンク お金,2019年 12月 9日
「10年で200億円使う」ソフトバンクが東大とAI研究所を創った理由,"
「東大と我々が組むことによって、学生たちに学ぶ機会や、会社を興すチャンスをどんどん与えていきたいと思う。今回の研究所設立が、そのきっかけになれば良いと思う」【全画像をみる】「10年で200億円使う」ソフトバンクが東大とAI研究所を創った理由ソフトバンクの孫正義会長はこう話した。

12月6日、東京大学とソフトバンクは、世界最高レベルの人材を擁するAIの研究機関になることを目指して『Beyond AI研究所』を開設。研究成果の事業化に向けた取り組みに関する協定を締結したと発表した。

ソフトバンクがBeyond AI研究所に投じる資金は10年間で200億円規模。1年あたり20億円という金額は、国内の産学連携では最大級といえるものだ。",BUSINESS INSIDER JAPAN,ソフトバンク お金,2019年 12月 9日
